"Genus","OTU","pvalue","seasoncooccurrence","Process"
"NS11-12_marine_group","Zotu108",0.001,"Fall-Spring-Winter","AD"
"uncultured","Zotu109",0.001,"Spring-Winter","AD"
"Arcobacter","Zotu114",0.018,"Summer","AD"
"uncultured","Zotu121",0.001,"Spring-Winter","AD"
"Geothrix","Zotu122",0.003,"Fall-Summer","AD"
"Arcobacter","Zotu123",0.04,"Fall-Spring-Summer","AD"
"AKYH767","Zotu124",0.001,"Fall-Spring-Winter","AD"
"uncultured","Zotu128",0.003,"Fall-Summer","AD"
"Acidovorax","Zotu135",0.003,"Spring-Winter","AD"
"Hydrogenophaga","Zotu136",0.036,"Spring-Winter","AD"
"T34","Zotu146",0.036,"Fall-Summer","AD"
"A0839","Zotu149",0.004,"Summer","AD"
"Halomonas","Zotu150",0.001,"Spring-Winter","AD"
"Rivicola","Zotu153",0.001,"Fall-Summer","AD"
"uncultured","Zotu163",0.032,"Fall","AD"
"Leptotrichia","Zotu167",0.004,"Fall-Spring-Winter","AD"
"Pseudarcobacter","Zotu168",0.001,"Fall-Summer","AD"
"Beggiatoa","Zotu177",0.001,"Fall-Spring-Winter","AD"
"DEV114","Zotu179",0.001,"Spring-Winter","AD"
"Zoogloea","Zotu180",0.011,"Fall-Spring-Winter","AD"
"Dechloromonas","Zotu183",0.001,"Fall-Summer","AD"
"Methylotenera","Zotu189",0.02,"Fall-Summer-Winter","AD"
"Dietzia","Zotu195",0.013,"Fall-Spring-Winter","AD"
"Flavobacterium","Zotu196",0.048,"Fall-Spring-Winter","AD"
"uncultured","Zotu202",0.002,"Fall-Spring-Winter","AD"
"Zoogloea","Zotu210",0.001,"Spring-Winter","AD"
"uncultured","Zotu211",0.004,"Spring","AD"
"Zoogloea","Zotu215",0.001,"Spring-Winter","AD"
"Zoogloea","Zotu222",0.002,"Spring-Winter","AD"
"uncultured","Zotu223",0.03,"Fall-Spring-Winter","AD"
"uncultured","Zotu226",0.001,"Spring-Winter","AD"
"uncultured","Zotu228",0.005,"Fall-Spring-Winter","AD"
"Acinetobacter","Zotu233",0.001,"Fall-Summer","AD"
"Sphaerotilus","Zotu235",0.001,"Fall-Summer","AD"
"Bergeyella","Zotu239",0.045,"Spring-Winter","AD"
"Sphingobium","Zotu244",0.001,"Fall-Summer","AD"
"Fluviicoccus","Zotu246",0.002,"Fall-Spring-Winter","AD"
"uncultured","Zotu249",0.002,"Spring","AD"
"Alkanindiges","Zotu250",0.001,"Summer","AD"
"WCHB1-32","Zotu252",0.001,"Fall-Summer","AD"
"Acidovorax","Zotu256",0.011,"Fall-Summer","AD"
"Streptococcus","Zotu261",0.002,"Fall-Summer","AD"
"Syntrophomonas","Zotu264",0.023,"Fall-Summer","AD"
"Paludibacter","Zotu271",0.002,"Spring-Winter","AD"
"Comamonas","Zotu280",0.003,"Spring","AD"
"Aquabacterium","Zotu288",0.002,"Spring-Winter","AD"
"Aeromonas","Zotu289",0.004,"Summer","AD"
"uncultured","Zotu290",0.002,"Spring-Winter","AD"
"Thermogutta","Zotu297",0.002,"Summer","AD"
"Thiothrix","Zotu301",0.001,"Spring-Winter","AD"
"Pedobacter","Zotu308",0.001,"Spring","AD"
"Pseudarcobacter","Zotu311",0.002,"Fall-Spring-Winter","AD"
"Cloacibacterium","Zotu313",0.001,"Fall-Summer","AD"
"PB19","Zotu315",0.006,"Fall-Spring-Winter","AD"
"Novosphingobium","Zotu316",0.002,"Spring-Winter","AD"
"Simplicispira","Zotu319",0.001,"Fall-Summer","AD"
"Paludibacter","Zotu325",0.004,"Spring-Winter","AD"
"Marmoricola","Zotu328",0.001,"Spring","AD"
"Arcobacter","Zotu331",0.001,"Winter","AD"
"Methyloversatilis","Zotu332",0.001,"Spring-Winter","AD"
"uncultured","Zotu334",0.002,"Spring-Winter","AD"
"Pajaroellobacter","Zotu336",0.002,"Fall-Summer","AD"
"Thiothrix","Zotu338",0.001,"Fall-Summer","AD"
"Phenylobacterium","Zotu349",0.036,"Fall-Summer","AD"
"Novosphingobium","Zotu353",0.015,"Fall-Spring-Winter","AD"
"Marmoricola","Zotu355",0.001,"Fall-Summer","AD"
"uncultured","Zotu358",0.008,"Fall-Spring-Winter","AD"
"Acetomicrobium","Zotu360",0.001,"Fall-Summer","AD"
"Dechloromonas","Zotu371",0.001,"Fall-Spring-Winter","AD"
"Thiothrix","Zotu379",0.028,"Spring","AD"
"Hydrothermae","Zotu381",0.001,"Spring-Winter","AD"
"Acetomicrobium","Zotu388",0.033,"Fall-Spring-Winter","AD"
"uncultured","Zotu391",0.035,"Summer","AD"
"SH3-11","Zotu392",0.021,"Fall-Summer","AD"
"Cloacibacterium","Zotu393",0.011,"Summer","AD"
"Flavobacterium","Zotu404",0.002,"Fall-Summer","AD"
"Ruminiclostridium","Zotu406",0.041,"Summer","AD"
"Altererythrobacter","Zotu409",0.001,"Fall-Spring-Winter","AD"
"Desulfomicrobium","Zotu411",0.02,"Fall-Spring-Winter","AD"
"Comamonas","Zotu413",0.001,"Fall-Summer","AD"
"Sericytochromatia","Zotu414",0.004,"Fall-Winter","AD"
"Streptococcus","Zotu418",0.001,"Fall-Summer","AD"
"[Agitococcus]_lubricus_group","Zotu420",0.002,"Fall-Spring-Winter","AD"
"Aquabacterium","Zotu424",0.018,"Fall-Summer","AD"
"Halomonas","Zotu426",0.001,"Fall-Summer","AD"
"P3OB-42","Zotu427",0.001,"Spring-Winter","AD"
"Coprothermobacter","Zotu429",0.001,"Spring-Winter","AD"
"Bacteroides","Zotu436",0.018,"Fall-Summer","AD"
"NS11-12_marine_group","Zotu447",0.001,"Spring-Winter","AD"
"Pseudarcobacter","Zotu452",0.001,"Fall-Summer","AD"
"Hydrogenophaga","Zotu462",0.006,"Spring","AD"
"Sulfuritalea","Zotu470",0.001,"Fall-Summer","AD"
"Acinetobacter","Zotu473",0.001,"Spring-Winter","AD"
"Sphaerotilus","Zotu474",0.001,"Fall-Spring-Winter","AD"
"Hydrogenophaga","Zotu477",0.001,"Fall-Summer","AD"
"Paludibacter","Zotu478",0.001,"Fall-Spring-Winter","AD"
"uncultured","Zotu482",0.045,"Fall-Summer","AD"
"Rhodoferax","Zotu489",0.011,"Spring-Winter","AD"
"Sulfurospirillum","Zotu490",0.001,"Spring-Winter","AD"
"Defluviitoga","Zotu491",0.001,"Fall-Summer-Winter","AD"
"Candidatus_Caldatribacterium","Zotu495",0.007,"Spring-Winter","AD"
"Leptothrix","Zotu496",0.002,"Fall-Summer","AD"
"Comamonas","Zotu503",0.002,"Fall-Summer","AD"
"Acinetobacter","Zotu505",0.006,"Fall","AD"
"Flavobacterium","Zotu508",0.014,"Fall-Summer","AD"
"Undibacterium","Zotu511",0.001,"Spring-Winter","AD"
"uncultured","Zotu512",0.013,"Spring","AD"
"Dechloromonas","Zotu513",0.029,"Spring","AD"
"Tessaracoccus","Zotu518",0.004,"Fall-Summer","AD"
"Flavobacterium","Zotu522",0.036,"Fall-Summer","AD"
"Candidatus_Caldatribacterium","Zotu526",0.006,"Fall-Summer","AD"
"uncultured","Zotu532",0.011,"Spring-Winter","AD"
"Arcobacter","Zotu536",0.032,"Fall-Winter","AD"
"Propioniciclava","Zotu540",0.014,"Spring-Winter","AD"
"Flavobacterium","Zotu543",0.014,"Fall-Summer","AD"
"Limnohabitans","Zotu546",0.002,"Fall-Summer","AD"
"Rhodoferax","Zotu549",0.001,"Fall-Summer","AD"
"Rhodoferax","Zotu551",0.023,"Fall-Summer","AD"
"uncultured","Zotu555",0.004,"Fall-Spring-Winter","AD"
"Paludibacter","Zotu557",0.005,"Fall-Spring-Winter","AD"
"Uruburuella","Zotu562",0.004,"Fall-Spring-Winter","AD"
"Acinetobacter","Zotu567",0.014,"Fall-Summer","AD"
"Sphaerotilus","Zotu569",0.023,"Fall-Summer","AD"
"Flavobacterium","Zotu573",0.022,"Spring-Winter","AD"
"uncultured","Zotu577",0.001,"Spring-Winter","AD"
"Janthinobacterium","Zotu580",0.002,"Spring-Winter","AD"
"Thiothrix","Zotu587",0.001,"Spring","AD"
"Syntrophomonas","Zotu588",0.001,"Fall-Spring-Winter","AD"
"Lactococcus","Zotu590",0.007,"Winter","AD"
"Lacihabitans","Zotu593",0.032,"Fall-Winter","AD"
"Rhodoferax","Zotu595",0.006,"Fall-Summer","AD"
"Tetrasphaera","Zotu600",0.032,"Fall-Spring-Winter","AD"
"uncultured","Zotu603",0.001,"Fall-Summer","AD"
"Halomonas","Zotu619",0.001,"Spring-Winter","AD"
"KD1-131","Zotu625",0.001,"Spring-Winter","AD"
"Cloacibacterium","Zotu631",0.002,"Fall-Summer","AD"
"Flavobacterium","Zotu633",0.001,"Fall-Spring-Summer","AD"
"Paludibacter","Zotu640",0.001,"Spring","AD"
"Novosphingobium","Zotu648",0.032,"Spring","AD"
"T34","Zotu651",0.001,"Fall-Summer","AD"
"Rhodobacter","Zotu652",0.001,"Fall-Summer","AD"
"Thiothrix","Zotu658",0.01,"Fall-Spring-Winter","AD"
"Comamonas","Zotu662",0.001,"Spring-Winter","AD"
"BD1-7_clade","Zotu665",0.001,"Spring-Winter","AD"
"Flavobacterium","Zotu666",0.001,"Spring-Winter","AD"
"Arcobacter","Zotu675",0.001,"Summer","AD"
"Tetrasphaera","Zotu682",0.003,"Summer","AD"
"uncultured","Zotu683",0.007,"Spring","AD"
"Flavobacterium","Zotu687",0.001,"Fall-Summer","AD"
"Arcobacter","Zotu692",0.001,"Fall-Summer","AD"
"Rhizobacter","Zotu695",0.015,"Summer","AD"
"Ferruginibacter","Zotu697",0.001,"Fall-Spring-Winter","AD"
"NS11-12_marine_group","Zotu703",0.001,"Spring-Winter","AD"
"Flavobacterium","Zotu708",0.011,"Fall-Summer","AD"
"mle1-27","Zotu710",0.008,"Fall-Spring-Winter","AD"
"Coprothermobacter","Zotu712",0.027,"Fall","AD"
"Undibacterium","Zotu713",0.013,"Spring-Winter","AD"
"Dechloromonas","Zotu719",0.002,"Fall-Summer","AD"
"Rhodobacter","Zotu720",0.001,"Fall-Spring-Winter","AD"
"Hydrogenispora","Zotu723",0.001,"Fall-Summer","AD"
"Diaphorobacter","Zotu727",0.001,"Spring-Winter","AD"
"Hydrogenophaga","Zotu730",0.019,"Winter","AD"
"Acinetobacter","Zotu734",0.001,"Spring-Winter","AD"
"Thiothrix","Zotu740",0.002,"Fall-Summer","AD"
"Pseudarcobacter","Zotu744",0.039,"Fall-Summer","AD"
"Thermomonas","Zotu749",0.003,"Fall-Summer","AD"
"Chryseobacterium","Zotu754",0.001,"Spring","AD"
"Aminobacter","Zotu755",0.001,"Fall-Summer","AD"
"uncultured","Zotu757",0.001,"Fall-Spring-Winter","AD"
"Sericytochromatia","Zotu760",0.025,"Fall-Spring-Winter","AD"
"uncultured","Zotu765",0.029,"Fall","AD"
"Macellibacteroides","Zotu767",0.001,"Spring-Winter","AD"
"SBR1031","Zotu772",0.004,"Fall-Summer","AD"
"Paracoccus","Zotu775",0.008,"Spring","AD"
"Hydrogenophaga","Zotu789",0.001,"Fall-Summer","AD"
"[Agitococcus]_lubricus_group","Zotu792",0.001,"Spring-Winter","AD"
"Edaphobaculum","Zotu798",0.001,"Spring-Winter","AD"
"Comamonas","Zotu803",0.002,"Fall-Summer","AD"
"Bifidobacterium","Zotu822",0.001,"Fall-Summer","AD"
"Lactococcus","Zotu823",0.013,"Spring-Winter","AD"
"Acinetobacter","Zotu828",0.01,"Spring","AD"
"MBA03","Zotu832",0.002,"Fall-Summer","AD"
"Vitreoscilla","Zotu846",0.039,"Fall-Winter","AD"
"KD1-131","Zotu859",0.005,"Fall-Summer","AD"
"M2PB4-65_termite_group","Zotu864",0.009,"Fall-Summer","AD"
"Sulfuricurvum","Zotu866",0.001,"Spring-Winter","AD"
"env.OPS_17","Zotu870",0.014,"Fall","AD"
"Acetomicrobium","Zotu874",0.032,"Fall-Summer-Winter","AD"
"R7C24","Zotu880",0.007,"Spring-Winter","AD"
"uncultured","Zotu887",0.011,"Fall-Summer-Winter","AD"
"Leptothrix","Zotu889",0.001,"Spring-Winter","AD"
"Sphaerotilus","Zotu890",0.001,"Fall-Summer","AD"
"Janthinobacterium","Zotu891",0.001,"Fall-Summer","AD"
"uncultured","Zotu892",0.046,"Fall-Spring-Winter","AD"
"Rhizorhapis","Zotu896",0.019,"Fall-Summer","AD"
"Erysipelothrix","Zotu902",0.001,"Spring-Winter","AD"
"uncultured","Zotu907",0.034,"Fall-Summer","AD"
"37-13","Zotu916",0.026,"Fall-Summer","AD"
"Acinetobacter","Zotu919",0.001,"Fall-Spring-Winter","AD"
"Subdoligranulum","Zotu925",0.011,"Spring","AD"
"Alkanindiges","Zotu926",0.001,"Fall-Summer","AD"
"Lactococcus","Zotu931",0.006,"Fall-Summer","AD"
"JGI-0000079-D21","Zotu933",0.006,"Fall-Summer","AD"
"Bacteroides","Zotu942",0.001,"Fall-Summer","AD"
"Macellibacteroides","Zotu957",0.001,"Spring-Winter","AD"
"Arcobacter","Zotu966",0.025,"Fall-Spring-Winter","AD"
"Aeromonas","Zotu979",0.042,"Fall-Winter","AD"
"Micropruina","Zotu987",0.003,"Fall-Summer","AD"
"Romboutsia","Zotu990",0.002,"Fall-Summer","AD"
"Prosthecobacter","Zotu998",0.005,"Fall-Spring-Winter","AD"
"Iamia","Zotu999",0.003,"Fall-Summer","AD"
"Limnohabitans","Zotu1003",0.001,"Fall-Summer","AD"
"Rhodobacter","Zotu1011",0.024,"Fall-Summer","AD"
"Luteolibacter","Zotu1015",0.001,"Fall-Summer","AD"
"Zoogloea","Zotu1020",0.002,"Fall-Summer","AD"
"Phenylobacterium","Zotu1026",0.001,"Spring-Winter","AD"
"Cloacibacterium","Zotu1027",0.01,"Fall-Summer","AD"
"Hungateiclostridiaceae","Zotu1028",0.001,"Fall-Spring-Winter","AD"
"Lautropia","Zotu1029",0.003,"Spring-Winter","AD"
"Propionivibrio","Zotu1034",0.007,"Spring-Winter","AD"
"Bosea","Zotu1037",0.001,"Spring","AD"
"Cloacibacterium","Zotu1041",0.001,"Fall-Summer","AD"
"Acinetobacter","Zotu1051",0.001,"Spring","AD"
"Mitochondria","Zotu1065",0.047,"Spring-Winter","AD"
"Zoogloea","Zotu1068",0.008,"Spring","AD"
"Limnohabitans","Zotu1075",0.003,"Summer","AD"
"Flavobacterium","Zotu1079",0.001,"Fall-Summer","AD"
"Sericytochromatia","Zotu1082",0.001,"Spring-Winter","AD"
"Bergeyella","Zotu1087",0.001,"Spring-Winter","AD"
"Defluviitalea","Zotu1094",0.008,"Spring-Winter","AD"
"Ferruginibacter","Zotu1097",0.004,"Summer","AD"
"uncultured","Zotu1100",0.002,"Spring-Winter","AD"
"Ferruginibacter","Zotu1101",0.007,"Fall-Spring-Winter","AD"
"Streptococcus","Zotu1103",0.003,"Spring-Winter","AD"
"Halomonas","Zotu1104",0.001,"Spring-Winter","AD"
"Devosia","Zotu1106",0.003,"Fall-Summer","AD"
"Coprothermobacter","Zotu1112",0.001,"Spring-Winter","AD"
"Arcobacter","Zotu1113",0.001,"Spring-Winter","AD"
"Acinetobacter","Zotu1115",0.001,"Fall-Summer","AD"
"Sericytochromatia","Zotu1120",0.02,"Fall-Spring-Winter","AD"
"Paludibacter","Zotu1122",0.005,"Spring-Winter","AD"
"Hydrogenophaga","Zotu1125",0.006,"Fall","AD"
"KD1-131","Zotu1126",0.03,"Fall-Spring-Summer","AD"
"Beggiatoaceae","Zotu1132",0.003,"Fall-Summer","AD"
"uncultured","Zotu1136",0.001,"Fall-Summer","AD"
"Arcobacter","Zotu1137",0.001,"Fall-Spring-Winter","AD"
"uncultured","Zotu1139",0.036,"Fall-Summer","AD"
"Rhodobacter","Zotu1145",0.001,"Fall-Summer","AD"
"XBB1006","Zotu1147",0.032,"Spring-Winter","AD"
"Prosthecomicrobium","Zotu1152",0.005,"Fall-Summer","AD"
"Dechloromonas","Zotu1157",0.018,"Spring-Winter","AD"
"Taibaiella","Zotu1162",0.001,"Fall-Summer","AD"
"Candidatus_Accumulibacter","Zotu1168",0.029,"Winter","AD"
"uncultured","Zotu1171",0.001,"Spring-Winter","AD"
"Saccharimonadales","Zotu1178",0.001,"Spring-Winter","AD"
"uncultured","Zotu1179",0.003,"Spring-Winter","AD"
"Coprothermobacter","Zotu1187",0.001,"Fall-Summer","AD"
"Devosia","Zotu1188",0.001,"Fall-Summer","AD"
"uncultured","Zotu1192",0.023,"Fall-Summer","AD"
"Sphaerotilus","Zotu1204",0.001,"Fall-Summer","AD"
"Babeliales","Zotu1212",0.017,"Fall-Spring-Winter","AD"
"Acinetobacter","Zotu1214",0.001,"Spring-Winter","AD"
"Streptococcus","Zotu1220",0.022,"Fall-Spring-Winter","AD"
"Prevotella","Zotu1221",0.001,"Spring-Winter","AD"
"JTB23","Zotu1229",0.019,"Fall-Winter","AD"
"Candidatus_Accumulibacter","Zotu1231",0.036,"Fall-Summer","AD"
"Limnohabitans","Zotu1235",0.005,"Fall","AD"
"Lacunisphaera","Zotu1237",0.001,"Spring-Winter","AD"
"uncultured","Zotu1239",0.016,"Spring","AD"
"Sericytochromatia","Zotu1250",0.001,"Fall-Summer","AD"
"uncultured","Zotu1252",0.001,"Fall-Summer","AD"
"Pseudomonas","Zotu1257",0.018,"Spring","AD"
"Flavobacterium","Zotu1261",0.003,"Fall-Winter","AD"
"Rurimicrobium","Zotu1273",0.006,"Fall-Spring-Winter","AD"
"Lactococcus","Zotu1274",0.002,"Fall-Summer","AD"
"Lactococcus","Zotu1275",0.001,"Spring-Winter","AD"
"Halomonas","Zotu1276",0.005,"Fall-Summer","AD"
"Zoogloea","Zotu1278",0.043,"Spring-Winter","AD"
"[Agitococcus]_lubricus_group","Zotu1280",0.001,"Fall-Summer","AD"
"Acinetobacter","Zotu1284",0.002,"Fall-Summer","AD"
"Imtechella","Zotu1289",0.001,"Fall-Summer","AD"
"uncultured","Zotu1292",0.001,"Fall-Spring-Winter","AD"
"uncultured","Zotu1299",0.002,"Fall-Summer","AD"
"Thermomonas","Zotu1317",0.027,"Summer","AD"
"Coprothermobacter","Zotu1322",0.002,"Fall-Summer","AD"
"uncultured","Zotu1326",0.001,"Spring-Winter","AD"
"Pajaroellobacter","Zotu1327",0.001,"Fall-Summer","AD"
"uncultured","Zotu1339",0.019,"Winter","AD"
"Lactococcus","Zotu1355",0.042,"Fall-Spring-Winter","AD"
"SH-PL14","Zotu1357",0.003,"Fall-Summer","AD"
"Acinetobacter","Zotu1365",0.002,"Spring","AD"
"Halomonas","Zotu1367",0.001,"Fall-Summer","AD"
"Micropruina","Zotu1374",0.001,"Spring","AD"
"Acetomicrobium","Zotu1379",0.001,"Spring-Winter","AD"
"BSV13","Zotu1391",0.006,"Summer","AD"
"Novosphingobium","Zotu1396",0.027,"Fall-Spring-Winter","AD"
"Absconditabacteriales_","Zotu1398",0.001,"Spring-Winter","AD"
"Nocardioides","Zotu1402",0.012,"Spring-Winter","AD"
"uncultured","Zotu1406",0.013,"Fall-Summer","AD"
"Acinetobacter","Zotu1410",0.001,"Fall-Summer","AD"
"uncultured","Zotu1421",0.017,"Fall-Summer","AD"
"Geobacter","Zotu1423",0.001,"Fall-Summer","AD"
"Anaerosinus","Zotu1424",0.045,"Fall-Summer","AD"
"Desulfobulbus","Zotu1425",0.001,"Spring-Winter","AD"
"Coprothermobacter","Zotu1427",0.001,"Fall-Summer","AD"
"Cloacibacterium","Zotu1431",0.031,"Fall","AD"
"Propioniciclava","Zotu1444",0.002,"Fall-Summer","AD"
"Bifidobacterium","Zotu1445",0.035,"Fall-Summer","AD"
"Pajaroellobacter","Zotu1448",0.037,"Fall-Spring","AD"
"alphaI_cluster","Zotu1450",0.016,"Summer","AD"
"Simplicispira","Zotu1451",0.003,"Spring-Winter","AD"
"NS11-12_marine_group","Zotu1453",0.001,"Fall-Summer","AD"
"Propionivibrio","Zotu1457",0.017,"Fall-Spring-Winter","AD"
"Rhodoferax","Zotu1460",0.001,"Spring","AD"
"Candidatus_Paracaedibacter","Zotu1461",0.031,"Spring-Winter","AD"
"0319-6G20","Zotu1463",0.001,"Spring","AD"
"uncultured","Zotu1465",0.012,"Spring","AD"
"Mycobacterium","Zotu1466",0.006,"Fall-Summer","AD"
"Collinsella","Zotu1470",0.001,"Spring-Winter","AD"
"Paludibacter","Zotu1472",0.006,"Fall-Spring-Winter","AD"
"uncultured","Zotu1476",0.03,"Spring","AD"
"Rhodobacter","Zotu1478",0.001,"Spring","AD"
"Erysipelothrix","Zotu1490",0.001,"Summer","AD"
"Edaphobaculum","Zotu1501",0.014,"Fall","AD"
"Chryseobacterium","Zotu1508",0.003,"Fall-Spring-Winter","AD"
"Prosthecobacter","Zotu1509",0.037,"Fall-Spring-Winter","AD"
"[Agitococcus]_lubricus_group","Zotu1513",0.002,"Fall-Summer","AD"
"Paludibacter","Zotu1523",0.001,"Spring-Winter","AD"
"Mitochondria","Zotu1532",0.002,"Fall-Summer","AD"
"Arcobacter","Zotu1542",0.015,"Fall-Spring-Winter","AD"
"Rhizobacter","Zotu1543",0.001,"Spring-Winter","AD"
"Rhodobacter","Zotu1547",0.032,"Spring-Winter","AD"
"Comamonas","Zotu1548",0.016,"Fall-Spring-Winter","AD"
"Devosia","Zotu1554",0.003,"Spring-Winter","AD"
"Ferribacterium","Zotu1556",0.005,"Fall-Spring-Winter","AD"
"uncultured","Zotu1557",0.001,"Summer","AD"
"Aeromonas","Zotu1560",0.003,"Fall-Spring-Winter","AD"
"mle1-27","Zotu1564",0.002,"Winter","AD"
"Zoogloea","Zotu1586",0.038,"Fall-Winter","AD"
"Defluviitalea","Zotu1587",0.001,"Fall-Summer","AD"
"[Agitococcus]_lubricus_group","Zotu1588",0.002,"Spring","AD"
"Zoogloea","Zotu1594",0.001,"Fall-Summer","AD"
"[Agitococcus]_lubricus_group","Zotu1595",0.001,"Spring-Winter","AD"
"Bacteroides","Zotu1597",0.016,"Spring","AD"
"Roseimicrobium","Zotu1603",0.006,"Spring","AD"
"Bifidobacterium","Zotu1605",0.001,"Spring-Winter","AD"
"Phaselicystis","Zotu1610",0.016,"Spring-Winter","AD"
"Leucobacter","Zotu1612",0.005,"Fall-Spring-Winter","AD"
"uncultured","Zotu1614",0.009,"Spring-Winter","AD"
"[Agitococcus]_lubricus_group","Zotu1617",0.001,"Fall-Summer","AD"
"Brevundimonas","Zotu1618",0.003,"Fall-Summer","AD"
"T34","Zotu1623",0.003,"Spring-Winter","AD"
"Geobacter","Zotu1625",0.001,"Spring-Winter","AD"
"Pseudarcobacter","Zotu1631",0.019,"Fall-Spring-Winter","AD"
"Beijerinckiaceae","Zotu1634",0.001,"Fall-Spring-Winter","AD"
"uncultured","Zotu1635",0.006,"Summer","AD"
"uncultured","Zotu1636",0.011,"Fall","AD"
"Acinetobacter","Zotu1638",0.001,"Fall-Spring-Winter","AD"
"Leucobacter","Zotu1639",0.001,"Fall-Spring-Winter","AD"
"Chryseobacterium","Zotu1641",0.001,"Fall-Summer","AD"
"Leucobacter","Zotu1642",0.031,"Fall-Spring-Winter","AD"
"Cloacibacterium","Zotu1645",0.001,"Summer","AD"
"UCG-010","Zotu1646",0.046,"Fall-Summer","AD"
"Actinomyces","Zotu1648",0.001,"Spring-Winter","AD"
"Aeromonas","Zotu1649",0.002,"Spring-Winter","AD"
"uncultured","Zotu1650",0.001,"Spring-Winter","AD"
"Tolumonas","Zotu1651",0.048,"Spring","AD"
"Propionivibrio","Zotu1653",0.001,"Spring-Winter","AD"
"env.OPS_17","Zotu1654",0.001,"Fall-Spring-Winter","AD"
"Dokdonella","Zotu1657",0.002,"Fall-Summer-Winter","AD"
"Mitochondria","Zotu1667",0.002,"Spring-Winter","AD"
"Aquabacterium","Zotu1668",0.034,"Fall-Spring-Winter","AD"
"Tolumonas","Zotu1669",0.001,"Fall-Spring-Winter","AD"
"Propioniciclava","Zotu1670",0.001,"Spring-Winter","AD"
"Ruminiclostridium","Zotu1676",0.001,"Spring-Winter","AD"
"Ferruginibacter","Zotu1680",0.045,"Fall-Winter","AD"
"Beggiatoa","Zotu1693",0.001,"Spring-Winter","AD"
"Phreatobacter","Zotu1694",0.001,"Spring-Winter","AD"
"NS11-12_marine_group","Zotu1697",0.002,"Fall-Summer","AD"
"uncultured","Zotu1701",0.001,"Spring-Winter","AD"
"Saccharimonadales","Zotu1702",0.002,"Fall-Spring-Winter","AD"
"alphaI_cluster","Zotu1704",0.015,"Fall-Spring-Winter","AD"
"Acidovorax","Zotu1707",0.025,"Fall-Summer","AD"
"Zoogloea","Zotu1709",0.001,"Spring-Winter","AD"
"Formivibrio","Zotu1714",0.001,"Spring-Winter","AD"
"Acidovorax","Zotu1718",0.001,"Spring-Winter","AD"
"Hypnocyclicus","Zotu1721",0.001,"Fall-Summer","AD"
"uncultured","Zotu1722",0.023,"Fall-Spring-Winter","AD"
"Acinetobacter","Zotu1726",0.002,"Spring","AD"
"0319-6G20","Zotu1731",0.006,"Summer","AD"
"Zoogloea","Zotu1735",0.001,"Spring-Winter","AD"
"Thermomonas","Zotu1742",0.035,"Fall-Summer","AD"
"37-13","Zotu1743",0.015,"Spring-Summer","AD"
"Roseomonas","Zotu1746",0.001,"Spring-Winter","AD"
"Izemoplasmatales","Zotu1747",0.001,"Fall-Summer","AD"
"Akkermansia","Zotu1748",0.049,"Fall-Spring","AD"
"Acinetobacter","Zotu1749",0.016,"Fall","AD"
"uncultured","Zotu1751",0.019,"Spring-Winter","AD"
"Acinetobacter","Zotu1753",0.001,"Spring-Winter","AD"
"Saccharimonadales","Zotu1757",0.001,"Spring-Winter","AD"
"Devosiaceae","Zotu1758",0.001,"Fall-Spring-Winter","AD"
